,,,,Velocity (m/s),Velocity (ft/s),Battery Current (A),RPM (rev/min),Thrust (N),Power (W),Efficiency,Thurst (lbf)
prop file: 11x7E,,,,0,0.0,43.177786,8692.107974,17.326397,342.226102,0.875349,3.895129983
propDiameter: 11.0 inches,,,,0.762,2.5,43.177786,8692.107974,17.279403,343.300632,0.875349,3.884565309
altitude: 0.0,,,,1.524,5.0,43.177786,8692.107974,17.279403,343.300632,0.875349,3.884565309
density: 1.225 kgm/s^2,,,,2.286,7.5,43.361777,8685.559489,17.204814,343.828186,0.875129,3.867797031
ESC Max Current: 80.0 A,,,,3.048,10.0,43.548159,8677.0797,17.148954,344.543856,0.874719,3.8552392
ESC resistance: 0.01 ohms,,,,3.81,12.5,43.720855,8666.6078,17.031649,344.408295,0.874076,3.82886798
battery resistance per cell: 0.0057 ohms,,,,4.572,15.0,43.471764,8675.74128,17.007429,345.078133,0.874402,3.823423106
battery voltage per cell: 3.7 V,,,,5.334,17.5,43.700995,8667.873095,16.92807,345.449597,0.874156,3.805582489
# of cells: 3.0,,,,6.096,20.0,43.700995,8667.873095,16.767177,345.651599,0.874156,3.769412294
kV: 1000.0,,,,6.858,22.5,43.459993,8676.727117,16.668134,344.885004,0.874473,3.747146536
no load motor current: 1.8 A,,,,7.62,25.0,43.700949,8668.110188,16.539831,344.631062,0.87418,3.718302867
motor resistance: 0.03 ohms,,,,8.382,27.5,43.354722,8681.629016,16.302433,344.650017,0.874716,3.66493366
motor max watts: 2000.0,,,,9.144,30.0,43.354722,8681.629016,16.302433,344.650017,0.874716,3.66493366
Throttle: 100.0,,,,9.906,32.5,43.287587,8687.278894,15.972901,343.672764,0.875124,3.590851901
,,,,10.668,35.0,43.012099,8700.136363,15.615344,342.767116,0.875761,3.510469869
,,,,11.43,37.5,43.012099,8700.136363,15.469458,342.385803,0.875761,3.477673384
,,,,12.192,40.0,42.811007,8711.087463,15.207403,341.585942,0.876383,3.418761061
,,,,12.954,42.5,42.479015,8726.367212,14.7573,339.442711,0.877126,3.317573856
,,,,13.716,45.0,42.387439,8733.652708,14.631283,339.178775,0.877639,3.2892441
,,,,14.478,47.5,41.981188,8752.826019,14.302032,337.828626,0.878594,3.215225512
,,,,15.24,50.0,41.981188,8752.826019,14.144984,336.388371,0.878594,3.179919708
,,,,16.002,52.5,41.435079,8784.44754,13.666168,333.758585,0.88046,3.072277562
,,,,16.764,55.0,40.975735,8809.041619,13.2325,330.616752,0.881825,2.974785093
,,,,17.526,57.5,40.629471,8822.822859,13.147798,330.437337,0.882376,2.955743321
,,,,18.288,60.0,39.95398,8861.604768,12.597859,325.869635,0.884635,2.832112084
,,,,19.05,62.5,39.05869,8908.294961,12.015784,321.023792,0.887147,2.701256385
,,,,19.812,65.0,39.05869,8908.294961,12.015784,321.023792,0.887147,2.701256385
,,,,20.574,67.5,38.067989,8960.190733,11.414135,315.496303,0.889936,2.566000275
,,,,21.336,70.0,38.067989,8960.190733,11.378351,314.805069,0.889936,2.55795571
,,,,22.098,72.5,36.919252,9020.540373,10.817951,308.884757,0.893168,2.431972746
,,,,22.86,75.0,35.652361,9087.335952,10.199305,301.418855,0.896733,2.292895558
,,,,23.622,77.5,35.652361,9087.335952,10.199305,301.418855,0.896733,2.292895558
,,,,24.384,80.0,34.277204,9159.993124,9.569506,293.110431,0.900591,2.151311074
,,,,25.146,82.5,32.749956,9241.033575,8.936441,283.63084,0.904877,2.008992365
,,,,25.908,85.0,32.790564,9237.056413,8.920659,283.098339,0.904585,2.005444429
,,,,26.67,87.5,31.107058,9328.689274,8.2901,273.073779,0.909495,1.863689091
,,,,27.432,90.0,31.156943,9324.030235,8.271995,272.449705,0.909161,1.859618924
,,,,28.194,92.5,29.314294,9424.548046,7.625999,261.193999,0.914509,1.714393209
,,,,28.956,95.0,28.172067,9483.774256,7.294127,253.965846,0.9175,1.639785397
,,,,29.718,97.5,27.382114,9526.824092,6.94791,247.400029,0.91976,1.561952699
,,,,30.48,100.0,26.343305,9581.926824,6.684836,241.098023,0.922572,1.502811296
,,,,31.242,102.5,24.324169,9690.416882,6.067841,228.233905,0.928128,1.364105267
,,,,32.004,105.0,23.024096,9762.963869,5.53037,215.661463,0.931932,1.243276949
,,,,32.766,107.5,22.429244,9793.374568,5.388618,211.457101,0.933399,1.211409824
,,,,33.528,110.0,20.615578,9894.513089,4.788802,197.272654,0.938641,1.076565789
,,,,34.29,112.5,20.420481,9901.900209,4.690933,193.988464,0.938871,1.054563957
,,,,35.052,115.0,18.19398,10028.33598,4.029337,176.606197,0.94545,0.905831222
,,,,35.814,117.5,18.19398,10028.33598,3.994477,175.585315,0.94545,0.89799438
,,,,36.576,120.0,15.247645,10190.14394,3.232622,152.970128,0.953527,0.726722519
,,,,37.338,122.5,15.450686,10179.08802,3.195447,151.482041,0.952983,0.718365245
,,,,38.1,125.0,12.257858,10355.80891,2.413493,126.623746,0.961738,0.542574948
,,,,38.862,127.5,10.673079,10444.11237,1.918418,110.185956,0.966085,0.431277632
,,,,39.624,130.0,9.355761,10516.9494,1.51744,97.833466,0.969621,0.341134169
,,,,40.386,132.5,9.465555,10511.57746,1.500138,97.111347,0.969391,0.337244524
,,,,41.148,135.0,7.398965,10627.71436,0.955497,77.50534,0.975065,0.214804325
,,,,41.91,137.5,7.398965,10627.71436,0.955497,77.50534,0.975065,0.214804325
,,,,42.672,140.0,4.131258,10809.86781,0,45.356338,0.983785,0
