,Battery Current (A),RPM (rev/min),Thrust (N),Power (W),Efficiency,Torque (in-lbf),Thrust (lbf)
0,100.9029557,7564.986645,41.40995387,1769.358306,0.893620691,20.14183998,9.30933032
2,99.22840928,7598.329005,41.80338492,1747.240293,0.895612972,19.77973483,9.397777161
4,95.42475995,7673.7141,42.57398607,1695.895949,0.900102286,18.95407853,9.571015235
6,93.25616239,7716.485174,43.00103904,1665.922163,0.90263995,18.48584083,9.667020586
8,90.56232253,7769.386171,43.42541914,1628.083573,0.90577043,17.91560064,9.762425052
10,85.50771621,7868.032566,44.16959725,1555.242293,0.911581548,16.8099643,9.929722988
12,82.23346903,7931.535369,44.34263974,1506.667891,0.915303637,16.12090306,9.968624498
14,78.97583011,7994.401249,44.29461528,1457.339982,0.918974805,15.42136799,9.957828168
16,75.89174662,8053.650691,43.88132703,1409.692374,0.922421826,14.86039228,9.864917247
18,71.63667775,8134.98272,42.21301275,1342.482807,0.927133284,14.06030436,9.489865184
20,69.09511832,8183.336195,40.86906989,1301.529751,0.929923498,13.51193007,9.187734732
22,67.12795409,8220.647833,39.41658254,1269.447645,0.932071092,13.14003872,8.861202505
24,63.97784528,8280.213869,36.39409695,1217.299412,0.935488835,12.5349731,8.181720542
26,62.02198464,8317.086981,34.54385661,1184.419766,0.937597892,12.1594505,7.76576986
28,60.088106,8353.455315,32.57896809,1151.585012,0.939673574,11.76252106,7.324045237
30,56.52246872,8420.298874,29.38444814,1090.132925,0.943476023,11.09649188,6.605888402
32,53.00618785,8485.929063,26.45286456,1028.45957,0.947195029,10.38840669,5.94684203
34,50.2548843,8537.110831,24.30851344,979.3867277,0.950084239,9.826347558,5.464772599
36,47.13178731,8595.019939,22.10766503,922.8742962,0.95334222,9.208107243,4.970002067
38,42.42762628,8681.886681,19.18155114,836.0643665,0.958207126,8.31841532,4.312185329
40,38.89571576,8746.825902,17.02741799,769.6290532,0.961826985,7.606069042,3.827916812
42,35.08031441,8816.720837,14.78919674,696.6268455,0.965706656,6.815652216,3.32474453
44,30.55119555,8899.357118,12.25544102,608.3177958,0.970271628,5.890494074,2.755133441
46,21.97023362,9054.97047,7.759459719,436.1287634,0.978804111,4.110202985,1.74439638
48,16.76214351,9148.841258,5.303808198,328.5387856,0.983911056,3.172367534,1.192343817
50,12.11346441,9232.280988,2.640054505,230.5531784,0.988425256,2.300376292,0.593508013
52,10.7888153,9255.999706,1.965460868,202.3065298,0.989704107,1.982918915,0.441853292
54,9.023175151,9287.570949,1.120361318,164.404182,0.991403613,1.563829978,0.251867307
,,,,,,,
,,,,,,,
,m/s,,,,,,
takeoff,10.668,,,,,,
cruise,18.288,,,,,,
landing,0,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Takeoff Burned,,,,,,,
To Cruise,,,,,,,
Cruise,,,,,,,
Landing,,,,,,,
