,Battery Current (A),RPM (rev/min),Thrust (N),Power (W),Efficiency,Torque (in-lbf),Thrust (lbf),,,m/s
0,100.9029557,7564.986645,41.40995387,1769.358306,0.893620691,20.14183998,9.30933032,,takeoff,10.668
0.5,100.9023385,7564.992283,41.41002023,1769.364441,0.893621344,20.14189276,9.309345237,,cruise,18.288
1,99.2284094,7598.329004,41.80338492,1747.240293,0.895612971,19.77973482,9.397777159,,landing,0
1.5,99.22883818,7598.321292,41.80329368,1747.23217,0.895612473,19.77966622,9.397756648,,,
2,99.22883818,7598.321292,41.80329368,1747.23217,0.895612473,19.77966622,9.397756648,,,
2.5,97.37601032,7635.105232,42.19797135,1722.415636,0.897805518,19.3868701,9.48648374,,,
3,97.37601032,7635.105232,42.19797135,1722.415636,0.897805518,19.3868701,9.48648374,,Takeoff Burned,
3.5,96.90125231,7644.497578,42.27993721,1716.064132,0.898365379,19.31655811,9.504910404,,To Cruise,
4,95.42509877,7673.707159,42.5739032,1695.889177,0.900101885,18.95402363,9.570996604,,Cruise,
4.5,95.42509877,7673.707159,42.5739032,1695.889177,0.900101885,18.95402363,9.570996604,,Landing,
5,94.96884714,7682.725623,42.65481248,1689.640939,0.900637174,18.88607623,9.589185739,,,
5.5,93.2558553,7716.48994,43.00109623,1665.926606,0.902640293,18.48587609,9.667033443,,,
6,93.25448493,7716.515425,43.00140203,1665.950362,0.902641875,18.4860646,9.667102188,,,
6.5,92.82619515,7724.938247,43.06723206,1659.961785,0.903141134,18.42459042,9.681901372,,,
7,90.93524201,7762.079072,43.38758336,1633.395341,0.905338501,17.97148322,9.753919228,,,
7.5,90.56075557,7769.413776,43.42575639,1628.109473,0.905772211,17.91580298,9.762500869,,,
8,90.56075557,7769.413776,43.42575639,1628.109473,0.905772211,17.91580298,9.762500869,,,
8.5,88.35676991,7812.53175,43.81215871,1596.621581,0.908316063,17.41363825,9.849367588,,,
9,88.02384851,7819.02503,43.82725143,1591.835712,0.908698906,17.36692241,9.852760567,,,
9.5,88.02384851,7819.02503,43.82725143,1591.835712,0.908698906,17.36692241,9.852760567,,,
10,85.50840047,7868.026192,44.16951974,1555.237269,0.911580837,16.80992744,9.929705562,,,
10.5,85.25876828,7872.89261,44.16093794,1551.452225,0.911865909,16.77438427,9.927776296,,,
11,85.2537627,7872.965132,44.16185788,1551.513628,0.911871367,16.77483993,9.927983108,,,
11.5,85.02603881,7877.389135,44.108906,1548.168737,0.91213111,16.74084006,9.916079049,,,
12,82.23337439,7931.53618,44.34265031,1506.668534,0.915303735,16.1209077,9.968626874,,,
12.5,82.23270291,7931.543028,44.34273955,1506.673961,0.915304435,16.12094692,9.968646935,,,
13,82.1159738,7933.808559,44.30057883,1504.858562,0.915436602,16.10413547,9.959168826,,,
13.5,78.97581667,7994.40134,44.29461649,1457.340048,0.918974818,15.42136845,9.957828437,,,
14,78.97581667,7994.40134,44.29461649,1457.340048,0.918974818,15.42136845,9.957828437,,,
14.5,78.966821,7994.563727,44.28953459,1457.218437,0.918984812,15.42028533,9.956685981,,,
15,75.89174441,8053.650753,43.88132784,1409.692422,0.922421828,14.86039272,9.864917431,,,
15.5,75.89107995,8053.658657,43.88143235,1409.698602,0.922422525,14.86044965,9.864940925,,,
16,75.89107995,8053.658657,43.88143235,1409.698602,0.922422525,14.86044965,9.864940925,,,
16.5,73.29934466,8103.255628,43.14750866,1368.957173,0.925298291,14.35913095,9.699948273,,,
17,73.29934466,8103.255628,43.14750866,1368.957173,0.925298291,14.35913095,9.699948273,,,
17.5,73.29934466,8103.255628,43.14750866,1368.957173,0.925298291,14.35913095,9.699948273,,,
18,71.63635707,8134.985656,42.21305535,1342.484995,0.92713361,14.06032401,9.48987476,,,
18.5,71.06614012,8145.844923,42.14181979,1333.367952,0.927761123,13.91335177,9.473860364,,,
19,71.06681279,8145.834042,42.14167925,1333.361163,0.927760399,13.91329534,9.473828771,,,
